Departamento;Meses;Aereo;Fluvial;Maritimo;Terrestre;Total_general
Santander;Agosto;688;;;;688
Santander;Septiembre;861;;;;861
Arauca;Enero;;;;973;973
Arauca;Febrero;;;;732;732
Arauca;Marzo;;;;728;728
Arauca;Abril;;;;585;585
Arauca;Mayo;;;;472;472
Arauca;Junio;;;;535;535
Arauca;Julio;;;;657;657
Arauca;Agosto;;;;681;681
Arauca;Septiembre;;;;641;641
Choco;Enero;;;511;;511
Choco;Febrero;;;491;;491
Choco;Marzo;;;413;;413
Choco;Abril;;;464;;464
Choco;Mayo;;;370;;370
Choco;Junio;;;226;;226
Choco;Julio;;;281;;281
Choco;Agosto;;;249;;249
Choco;Septiembre;;;161;;161
Vichada;Enero;;157;;;157
Vichada;Febrero;;81;;;81
Vichada;Marzo;;94;;;94
Vichada;Abril;;100;;;100
Vichada;Mayo;;74;;;74
Vichada;Junio;;53;;;53
Vichada;Julio;;151;;;151
Vichada;Agosto;;219;;;219
Vichada;Septiembre;;143;;;143
Cesar;Abril;128;;;;128
Cesar;Mayo;300;;;;300
Cundinamarca;Julio;160;;;;160
Cundinamarca;Agosto;177;;;;177
Sucre;Enero;;;27;;27
Sucre;Febrero;;;34;;34
Sucre;Marzo;;;35;;35
Sucre;Abril;;;42;;42
Sucre;Mayo;;;44;;44
Sucre;Junio;;;34;;34
Sucre;Julio;;;15;;15
Sucre;Agosto;;;25;;25
Sucre;Septiembre;;;68;;68
Guainia;Enero;;35;;;35
Guainia;Febrero;;43;;;43
Guainia;Marzo;;29;;;29
Guainia;Abril;;34;;;34
Guainia;Mayo;;41;;;41
Guainia;Junio;;21;;;21
Guainia;Julio;;23;;;23
Guainia;Agosto;;14;;;14
Guainia;Septiembre;;26;;;26
